,Date,Open,High,Low,Close,Adj Close,Volume,Increase
2200,2019-03-27,268.75,275.369995,268.179993,274.829987,274.829987,8779200,1
2210,2019-04-10,276.73999,278.380005,272.890015,276.059998,276.059998,7061300,0
2220,2019-04-25,255.0,259.0,246.07000699999998,247.63000499999998,247.63000499999998,21849400,0
2230,2019-05-09,242.0,243.67999300000002,236.940002,241.979996,241.979996,6711400,0
2240,2019-05-23,194.33999599999999,199.470001,186.220001,195.490005,195.490005,26547100,1
2250,2019-06-07,205.0,210.83999599999999,203.5,204.5,204.5,16003500,1
2260,2019-06-21,216.22000099999997,222.17999300000002,215.5,221.86000099999998,221.86000099999998,8202100,1
2270,2019-07-08,231.24000499999997,232.25,228.66000400000001,230.33999599999999,230.33999599999999,5880500,1
2280,2019-07-22,258.75,262.149994,254.190002,255.67999300000002,255.67999300000002,6842400,0
2290,2019-08-05,229.600006,231.36999500000002,225.77999900000003,228.32000699999998,228.32000699999998,7028300,0
2300,2019-08-19,224.210007,227.830002,221.69999700000002,226.830002,226.830002,5309600,0
2310,2019-09-03,224.080002,228.94999700000002,223.16000400000001,225.00999500000003,225.00999500000003,5354100,1
